ID,Sales
T1188341,56673.32769353318
T1188342,34052.02766356319
T1188343,67861.16198275433
T1188344,36011.48568703421
T1188345,36900.38672544753
T1188346,68921.66842393372
T1188347,57037.12210399411
T1188348,46592.93264730577
T1188349,49904.34067896995
T1188350,33924.90535054135
T1188351,46284.888069056964
T1188352,37326.411138056355
T1188353,36975.27547984385
T1188354,40269.554316192465
T1188355,39058.9898617062
T1188356,32573.70214279257
T1188357,44639.75045533172
T1188358,23942.710166543642
T1188359,33262.926095491435
T1188360,49670.424933563445
T1188361,29680.500350110746
T1188362,36845.92508919492
T1188363,39565.90863281333
T1188364,29730.727368235366
T1188365,35355.26741179858
T1188366,31498.552694512717
T1188367,36259.63310637563
T1188368,31950.66523068103
T1188369,36264.48742374577
T1188370,48374.30783608622
T1188371,36249.42454080016
T1188372,50452.29918970714
T1188373,32789.03016815789
T1188374,32382.828785362923
T1188375,65101.941592039286
T1188376,58811.551352531744
T1188377,32894.83099837203
T1188378,36191.06559682269
T1188379,27141.3516325041
T1188380,64703.5908022583
T1188381,31711.005161526795
T1188382,36221.54302114836
T1188383,32480.942537286348
T1188384,31729.204573769483
T1188385,43030.20671685491
T1188386,36787.17216804761
T1188387,65080.35306904323
T1188388,59978.47539867114
T1188389,32933.909718699084
T1188390,83351.57250727377
T1188391,36787.17216804761
T1188392,48665.93010598578
T1188393,60157.14095415055
T1188394,44700.832952934914
T1188395,36747.655537710736
T1188396,64964.17067393834
T1188397,37038.61399939408
T1188398,41880.126214189746
T1188399,36963.14088316227
T1188400,44256.95222052014
T1188401,32641.62317033385
T1188402,22109.720223489712
T1188403,55308.400315083505
T1188404,32553.004504572833
T1188405,36458.57873213911
T1188406,24873.763401059998
T1188407,54076.23044439288
T1188408,35446.24911834683
T1188409,40422.59235846966
T1188410,25428.069422931214
T1188411,56861.98055800436
T1188412,24141.913500513343
T1188413,36433.78923188839
T1188414,28114.714520636477
T1188415,36458.57873213911
T1188416,42412.532736006106
T1188417,49723.92240168636
T1188418,35804.62926040149
T1188419,46714.676162107084
T1188420,55320.91549387252
T1188421,22439.43014425809
T1188422,50278.44539456053
T1188423,60500.27678073556
T1188424,36859.656339033565
T1188425,36597.27157497735
T1188426,36459.69093276816
T1188427,55115.24448537417
T1188428,36586.601728656584
T1188429,59650.79008727798
T1188430,49269.88930213318
T1188431,37038.61399939408
T1188432,21222.84977199744
T1188433,57028.36625784194
T1188434,35958.1137851207
T1188435,31861.340485283767
T1188436,49316.86288510306
T1188437,55161.85187983604
T1188438,25103.42227933022
T1188439,47697.03806726539
T1188440,36983.38588316227
T1188441,30237.993963478395
T1188442,35320.98560835487
T1188443,37038.61399939408
T1188444,39610.140915105425
T1188445,33334.896708672255
T1188446,26180.518748226696
T1188447,56863.46333216368
T1188448,59093.42891163759
T1188449,36825.192271890744
T1188450,35347.86359700678
T1188451,48157.11612748477
T1188452,21815.788568608263
T1188453,46355.01180936955
T1188454,31248.17668825286
T1188455,57103.4940049882
T1188456,27640.35309819911
T1188457,27395.87986482091
T1188458,34052.02766356319
T1188459,59805.27509530029
T1188460,22995.952117726785
T1188461,42124.269487029575
T1188462,36468.12620513791
T1188463,24333.473451243957
T1188464,48932.94020797282
T1188465,34733.75506217732
T1188466,32325.56370199143
T1188467,24167.175169617953
T1188468,38411.518547548585
T1188469,37228.87322164964
T1188470,22228.929019432635
T1188471,36871.14842111658
T1188472,43517.198893906316
T1188473,40707.85525224961
T1188474,50361.95025566025
T1188475,19448.29519919462
T1188476,45502.82195336033
T1188477,36193.11271811286
T1188478,37162.354659709556
T1188479,20345.034718339928
T1188480,44584.83231808335
T1188481,49531.6371422883
T1188482,43364.98947217865
T1188483,49244.63122251802
T1188484,49208.22451173199
T1188485,28483.149010205543
T1188486,22700.59897174019
T1188487,35774.682653887765
T1188488,37185.441265055524
T1188489,35481.27523848119
T1188490,49015.23624732717
T1188491,39510.11834400397
T1188492,31288.673147521065
T1188493,32175.177321343603
T1188494,49202.679281294324
