ID,Sales
T1188341,56673.327693533174
T1188342,34052.02766356319
T1188343,67861.16198275435
T1188344,36011.48568703421
T1188345,36900.386725447526
T1188346,68921.66842393373
T1188347,57037.122103994116
T1188348,46592.93264730577
T1188349,49904.34067896995
T1188350,33924.90535054135
T1188351,46284.88806905695
T1188352,37326.41113805634
T1188353,36975.27547984383
T1188354,40269.554316192465
T1188355,39058.9898617062
T1188356,32573.70214279257
T1188357,44639.75045533172
T1188358,23942.710166543642
T1188359,33262.926095491435
T1188360,49670.42493356343
T1188361,29680.500350110746
T1188362,36845.92508919492
T1188363,39565.90863281333
T1188364,29730.727368235366
T1188365,35355.26741179858
T1188366,31498.552694512717
T1188367,36259.63310637564
T1188368,31950.66523068103
T1188369,36264.48742374576
T1188370,48374.30783608621
T1188371,36249.42454080016
T1188372,50452.29918970714
T1188373,32789.03016815789
T1188374,32382.828785362923
T1188375,65101.941592039286
T1188376,58811.55135253175
T1188377,32894.83099837203
T1188378,36191.06559682269
T1188379,27141.3516325041
T1188380,64703.5908022583
T1188381,31711.005161526795
T1188382,36221.54302114836
T1188383,32480.942537286348
T1188384,31729.204573769483
T1188385,43030.20671685491
T1188386,36787.17216804761
T1188387,65080.35306904323
T1188388,59978.47539867114
T1188389,32933.909718699084
T1188390,83351.57250727376
T1188391,36787.17216804761
T1188392,48665.9301059858
T1188393,60157.14095415055
T1188394,44700.83295293492
T1188395,36747.655537710736
T1188396,64964.17067393834
T1188397,37038.61399939408
T1188398,41880.12621418974
T1188399,36963.14088316226
T1188400,44256.952220520136
T1188401,32641.62317033385
T1188402,22109.720223489712
T1188403,55308.400315083505
T1188404,32553.004504572837
T1188405,36458.57873213911
T1188406,24873.76340106
T1188407,54076.23044439288
T1188408,35446.24911834684
T1188409,40422.59235846965
T1188410,25428.06942293121
T1188411,56861.98055800436
T1188412,24141.913500513336
T1188413,36433.78923188839
T1188414,28114.71452063647
T1188415,36458.57873213911
T1188416,42412.532736006106
T1188417,49723.92240168636
T1188418,35804.629260401496
T1188419,46714.67616210709
T1188420,55320.91549387252
T1188421,22439.43014425809
T1188422,50278.445394560535
T1188423,60500.276780735556
T1188424,36859.65633903356
T1188425,36597.27157497735
T1188426,36459.69093276815
T1188427,55115.24448537417
T1188428,36586.601728656584
T1188429,59650.79008727798
T1188430,49269.889302133175
T1188431,37038.61399939408
T1188432,21222.84977199744
T1188433,57028.36625784194
T1188434,35958.113785120695
T1188435,31861.34048528377
T1188436,49316.86288510305
T1188437,55161.85187983604
T1188438,25103.422279330218
T1188439,47697.03806726539
T1188440,36983.38588316226
T1188441,30237.9939634784
T1188442,35320.98560835487
T1188443,37038.61399939408
T1188444,39610.140915105425
T1188445,33334.896708672255
T1188446,26180.518748226692
T1188447,56863.463332163694
T1188448,59093.42891163759
T1188449,36825.192271890744
T1188450,35347.863597006784
T1188451,48157.116127484755
T1188452,21815.788568608266
T1188453,46355.01180936955
T1188454,31248.176688252865
T1188455,57103.494004988206
T1188456,27640.353098199106
T1188457,27395.879864820905
T1188458,34052.02766356319
T1188459,59805.27509530028
T1188460,22995.952117726785
T1188461,42124.269487029575
T1188462,36468.12620513791
T1188463,24333.47345124395
T1188464,48932.94020797282
T1188465,34733.75506217732
T1188466,32325.56370199143
T1188467,24167.175169617953
T1188468,38411.518547548585
T1188469,37228.87322164965
T1188470,22228.929019432635
T1188471,36871.14842111659
T1188472,43517.198893906316
T1188473,40707.85525224962
T1188474,50361.95025566027
T1188475,19448.29519919462
T1188476,45502.82195336033
T1188477,36193.112718112854
T1188478,37162.354659709556
T1188479,20345.034718339928
T1188480,44584.83231808335
T1188481,49531.637142288295
T1188482,43364.98947217865
T1188483,49244.63122251802
T1188484,49208.22451173198
T1188485,28483.14901020554
T1188486,22700.59897174019
T1188487,35774.68265388776
T1188488,37185.441265055524
T1188489,35481.275238481176
T1188490,49015.23624732717
T1188491,39510.11834400397
T1188492,31288.673147521065
T1188493,32175.177321343603
T1188494,49202.67928129432
T1188495,25189.646200239487
T1188496,46928.948030855434
T1188497,24906.23732597575
T1188498,35426.09073012573
T1188499,38182.66809330979
T1188500,53198.4411794869
T1188501,32631.02285160575
T1188502,38024.848313672075
T1188503,28487.17070505282
T1188504,32252.168252405794
T1188505,31997.445041003906
T1188506,49228.314609131216
T1188507,39081.70632418043
T1188508,38081.250955280695
T1188509,27112.96968209443
T1188510,35731.34831802559
T1188511,32264.776655798385
T1188512,39276.10881452843
T1188513,30317.540987322383
T1188514,37817.08977693714
T1188515,55678.45500863775
T1188516,35668.27468042848
T1188517,50951.85472622198
T1188518,35907.956728595935
T1188519,48301.29410517046
T1188520,22486.24066236899
T1188521,47354.158805726336
T1188522,37476.69959892523
T1188523,29932.73261413981
T1188524,42365.87780091426
T1188525,58877.20089630483
T1188526,29896.576833345
T1188527,37568.457183334285
T1188528,34054.52392871597
T1188529,49197.41364818343
T1188530,37580.721205890666
T1188531,47954.82413622181
T1188532,37505.36831473447
T1188533,36908.7764983234
T1188534,36915.65667047471
T1188535,56361.96076254347
T1188536,58837.876629324404
T1188537,66108.14956789608
T1188538,59845.264372353166
T1188539,44018.17424158344
T1188540,38985.5830108263
T1188541,37301.70385454202
T1188542,61577.338781122264
T1188543,37301.70385454202
T1188544,37394.634495261314
T1188545,35892.559908827534
T1188546,27081.192534838992
T1188547,37241.04743894727
T1188548,48472.30346012342
T1188549,29943.029370198736
T1188550,34175.40320274117
T1188551,37439.375849261814
T1188552,20395.074399102716
T1188553,37084.68386945995
T1188554,60112.50684801768
T1188555,36362.426528232325
T1188556,56984.17167510595
T1188557,24891.06664259391
T1188558,27123.268981002577
T1188559,35006.662742448476
T1188560,37493.92496588153
T1188561,40582.44250795772
T1188562,25997.16264710098
T1188563,37066.3184843361
T1188564,55451.80352998172
T1188565,40009.292921470194
T1188566,42404.598200792985
T1188567,49219.65508763071
T1188568,23894.310180793844
T1188569,37371.618368992196
T1188570,36790.98525504703
T1188571,27146.703981495484
T1188572,58615.987010634606
T1188573,32354.549633820472
T1188574,36790.98525504703
T1188575,38390.29618845839
T1188576,58225.64077018002
T1188577,37108.36502625529
T1188578,32287.71632009196
T1188579,33811.26921617038
T1188580,34448.59978312401
T1188581,33165.5824155059
T1188582,27185.996023529955
T1188583,31868.81414662174
T1188584,27384.79809162788
T1188585,71576.4690953546
T1188586,34898.88690100905
T1188587,51243.058495959944
T1188588,31557.841670680802
T1188589,23671.36401120394
T1188590,38425.77166653416
T1188591,29978.642432968845
T1188592,32147.568406139762
T1188593,21593.825073064054
T1188594,63977.80879065897
T1188595,30037.820850212942
T1188596,36794.18726226728
T1188597,75661.95869902549
T1188598,61505.860103509585
T1188599,51243.45966083044
T1188600,31691.111761293523
T1188601,42597.625066623084
T1188602,26859.174070717432
T1188603,72594.16886346061
T1188604,36919.69469995781
T1188605,56303.615289600944
T1188606,26091.013446764016
T1188607,54586.8194477757
T1188608,42600.591882680106
T1188609,27940.858342247993
T1188610,56147.74174147488
T1188611,30105.155495030234
T1188612,46163.13662224661
T1188613,46894.37477500743
T1188614,53916.17076653556
T1188615,31601.822652707095
T1188616,55746.886158691625
T1188617,29959.26490150528
T1188618,50226.61099119625
T1188619,24657.288092508636
T1188620,37005.18120413979
T1188621,32324.17619953725
T1188622,34855.76347089853
T1188623,43421.50823649677
T1188624,23792.994019102618
T1188625,56678.28314425083
T1188626,35051.44231921769
T1188627,34966.321707790994
T1188628,42080.000170767395
T1188629,32100.34340479321
T1188630,35847.109234592965
T1188631,30109.20664148482
T1188632,40196.33844457829
T1188633,35915.32326668062
T1188634,31662.848580811173
T1188635,42551.79312638033
