ID,Sales
T1188341,56465.285
T1188342,34923.863
T1188343,55977.934
T1188344,35646.895
T1188345,35888.758
T1188346,55976.254
T1188347,56461.082
T1188348,44282.473
T1188349,48812.727
T1188350,30986.996
T1188351,48860.46
T1188352,35869.09
T1188353,35615.316
T1188354,39906.23
T1188355,39247.305
T1188356,30409.379
T1188357,44838.598
T1188358,22487.678
T1188359,34891.082
T1188360,48366.387
T1188361,27526.607
T1188362,34676.254
T1188363,39236.492
T1188364,27484.2
T1188365,35063.094
T1188366,31376.46
T1188367,35895.316
T1188368,31153.545
T1188369,35899.69
T1188370,46734.875
T1188371,35952.14
T1188372,48889.867
T1188373,31263.166
T1188374,30492.432
T1188375,56000.62
T1188376,56257.145
T1188377,30774.363
T1188378,35936.84
T1188379,27387.42
T1188380,55997.254
T1188381,31439.84
T1188382,35897.5
T1188383,30314.236
T1188384,31433.285
T1188385,40203.715
T1188386,35678.7
T1188387,55991.38
T1188388,56839.414
T1188389,31121.586
T1188390,70369.516
T1188391,35667.77
T1188392,47565.27
T1188393,56110.676
T1188394,44493.035
T1188395,35661.215
T1188396,55994.74
T1188397,35600.02
T1188398,39764.17
T1188399,35836.31
T1188400,44804.992
T1188401,34808.03
T1188402,22332.188
T1188403,55932.562
T1188404,34801.473
T1188405,35759.816
T1188406,24607.293
T1188407,56414.87
T1188408,35520.133
T1188409,41546.23
T1188410,24958.277
T1188411,56600.55
T1188412,22624.133
T1188413,35506.043
T1188414,27623.541
T1188415,35740.145
T1188416,39779.473
T1188417,48808.37
T1188418,35500.465
T1188419,46649.184
T1188420,56767.996
T1188421,22406.66
T1188422,47495.535
T1188423,56855.375
T1188424,35479.816
T1188425,35718.29
T1188426,35503.85
T1188427,56785.637
T1188428,35777.3
T1188429,56114.04
T1188430,46688.668
T1188431,35591.277
T1188432,21648.14
T1188433,56442.598
T1188434,35592.254
T1188435,31214.986
T1188436,46683.63
T1188437,56802.44
T1188438,24895.674
T1188439,47166.777
T1188440,35812.266
T1188441,31743.629
T1188442,34849.56
T1188443,35567.24
T1188444,39216.074
T1188445,34842.996
T1188446,25389.602
T1188447,55946.008
T1188448,56430.832
T1188449,35794.785
T1188450,35559.473
